Pathway	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
Cell adhesion molecules 	0	15	0	0	0	0	0	0	0	0	27	0	25	0	0	268.67	155.5	113	493.67	1746	331.17	58	0	755.34	0	932.33	103.33	2645	0
Cell cycle - Caulobacter 	825474.31	711651.6	734939.51	379498.07	406802.56	316336.81	609950.18	271569.27	662519.26	288831.5	443387.24	219526.32	430360.53	343505.81	384592.92	556169.48	740653.93	635403.2	710137.62	409164.97	772150.69	592393.39	358142.5	446178.88	593089.44	649739.18	644207.24	664177.86	470265.71
Cell cycle 	217	0	36.5	0	0	0	10	0	17	0	0	0	4	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
Cell growth	530499.68	143798.95	218949.17	107072.14	115051.81	88720.13	146456.39	53583.26	152173.93	82931.98	105304.2	54308.75	130141.2	86715.74	95453.28	120385.53	196674.05	117111.55	124839.89	106298.58	133684.73	85578.12	112428.49	100601.08	134904.98	109088.53	176543.13	452681.04	463164.01
Cell motility	11787.67	64339.86	22025.4	17690.6	21425.4	20533.03	25085.15	26667.24	39889.91	20381.12	17643.03	15458.91	19634.9	17915.71	31151.39	39056.53	18024.33	16973.89	77212.9	11194.36	18131.65	18948.83	57823.85	12657.47	14850.33	16660.35	22876.1	4494.88	18463
Cellular senescence 	403	56	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	148	59	0	3847	0	0	0
Central carbon metabolism in cancer 	414212.95	292820.02	283107.67	242515.58	230754.17	176022.4	362166.77	142045.36	335041.36	137184.44	265373.34	123722.08	244337.7	217888.4	250334.42	294449.27	314590.99	308091.03	323263.08	299224.6	314461.82	198323.64	201723.65	218699.43	230917.57	373697.26	308890.67	304973.07	282387.71
Chagas disease 	18858.33	29818.42	28876.5	14979.61	15458.36	9096.31	16152.53	10830.62	27805.28	6217.49	12017.33	7555.5	16094.82	13102.62	12839.76	32130.25	27878	21501.25	36168.29	8073.53	29851.75	18473.67	21471.99	11169.82	18314.82	28079.87	19540.83	16278.92	9258.5
Chaperones and folding catalyst	1497177.25	1585925.48	1156060.5	1029509.08	1021679.73	975754.73	1436988.15	732282.09	1434550.26	923321.6	1032875.16	663558.04	995456.22	992307.22	1073429.84	1353208.53	1229321.01	1123773.91	1451894.25	865650.46	1291853.51	946285.43	1123569.93	1032910.06	1063454.97	1181598.99	1321524.31	1120357.77	1142937.95
Chemical carcinogenesis 	204038.77	334630.68	244913.28	185797.03	164082.72	201452.53	291344.22	146207.23	229866.55	191626.39	159496.93	136293.73	179331.02	198134.1	204756.42	282986.27	270236.89	230790.63	241290.38	155086.77	277937.05	209798.48	190313.78	141069.5	205422.54	184287.82	251239.1	134551.7	212215.17
Chemokine signaling pathway 	0	10.8	0	0	5.8	0	0	0	94	0	0	0	0	0	0	496	0	0	0	3442	0	116	0	0	0	0	0	13	0
Chloroalkane and chloroalkene degradation 	379057.23	385979.94	352638.25	312569.12	221299.2	258983.49	476548.82	194361.86	330239.39	198374.78	261418.28	213628.65	300550.49	324344.16	277497.45	338043.63	392930.49	382793.84	367906.86	368829.74	409567.42	287024.01	188336.76	224435.37	298863.12	395173.95	418244.15	278852.79	193179.85
Chlorocyclohexane and chlorobenzene degradation 	195171.1	222514.89	204613.46	146488.21	126670.91	151302.72	275333.44	109729.12	177858.34	118747.39	137533.83	121676.23	180585.39	180753.76	162753.31	237539.85	259635.87	224849.42	212103.95	199303.2	277625.12	157996.33	100135.67	125988.17	188561.43	205548.51	230363.65	147516.69	154738.18
Choline metabolism in cancer 	10063.09	33925.78	17297.27	13326.03	15619.53	17830.48	23607.65	13249.29	21515.35	17333.99	15940.29	10930.75	12631.91	16099.62	18396.57	24440.02	15895.54	13641.17	15302.96	14905.43	16969.21	19443.66	23316.44	19117.03	14160.69	19240.28	16084.35	9763.64	17434.67
Cholinergic synapse 	563	0	426	0	208	0	0	0	0	0	48	0	48	0	0	0	65	0	0	0	0	0	0	0	203	0	111	124	0
Chromosome and associated protein	2027955.89	2280875.28	1596826.92	1374114.5	1392202.23	1296069.71	2097616.74	1039705.92	1942792.2	1205774.9	1427384.39	879854.37	1344898.28	1311626.24	1530384.57	1721527.82	1764302.3	1561528.63	1895890.5	1176122.61	1882746.77	1375728.64	1559902.9	1383498.32	1490962.8	1635649.92	1850244.96	1630624.72	1563053.77
Chronic myeloid leukemia 	47	5	0	237	0	276.5	76	0	543	183.5	7	105	152	0	169	53	0	930.5	154	0	40	0	0	10	51.5	154	14	0	736
Circadian entrainment 	180	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	113	452	0	0	0	166	0	21	239	3847	0	0	0
Citrate cycle (TCA cycle) 	1264979.95	1047116.52	855654.51	881680.86	740451.22	728495.64	1122076.47	515162.59	1073273.11	656293.98	831549.21	487835.99	747226.04	789577.64	778181.42	856527.85	937534.3	926617.16	1018480.78	866813.18	993017.61	670727.18	674355.31	728171.51	764952.29	1056942.84	1003002	984656.6	847471.1
Cocaine addiction 	47924.53	38725.53	40018.42	14395	18205.24	15551.5	21162.86	7349.86	30111.7	10354	24134.93	15490	28238.1	31090	16353.43	41492.94	44845.12	30440.51	31722.17	27859.63	38822.16	13706.15	13047.37	13611.24	16802.05	32921.01	27952.86	25318.44	9055.84
Cofactor metabolism	94010.68	143007.68	114955.23	73919.6	81354.36	78435.9	145510.88	72807.63	113946.46	73903.7	77305.31	52038.16	77940.9	68606.68	102345.73	112655.76	121306.13	93270.32	128147.02	55653.08	127708.14	100075.36	108254.42	83573.11	101363.19	93945.09	117912.39	73792.74	81730
Colorectal cancer 	47906.34	77258.53	79097.08	24862.07	29602.22	20160.82	59178.32	20983.97	51664.85	21892.74	30578	15347.58	34164.19	19445.7	26341.74	89415.46	77849.18	61753.96	65272.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
Coronavirus disease - COVID-19 	7012.08	2189.33	5143.25	633	2512.75	60	3406.25	64	2497.4	156	1539.5	50	1652.08	192	2684.75	12314	4928.75	3777	3816	1991.5	4537.75	1665.25	1387.5	3341.25	2551.5	1459.84	3851.25	1575	1842
Cushing syndrome 	48619.25	51071.33	30848.74	30472.84	28834.98	25235.29	38687.28	19896.08	45163.53	23875.73	32120	18291.08	28628.63	27096.32	29012.74	30086.54	33377.89	32546.99	42337.41	23417.46	36072.36	27282.04	31752.63	31370.5	30202.34	40406.02	37288.36	42229.71	30424.17
Cyanoamino acid metabolism 	311094.21	286417.33	256187.94	218514.81	220905.23	220916.47	312397.96	158971.36	309754.5	214917.79	216254.29	143237.66	208919.33	212182.54	218154.98	275223.75	316731.71	292083.36	309666.38	283118.03	301643.12	194113.72	208992.62	176234.34	215168.36	253881.01	300739.53	221465.13	229421.03
Cysteine and methionine metabolism 	1497524.27	1492242.27	1176312.73	1064176.98	964362.77	985731.21	1322969.84	706169.1	1366829.4	921993.63	998389.41	654588.48	919514.2	1036120.44	1017068.51	1054005.17	1192983.56	1120823.89	1369476.67	918781.88	1256236.98	922140.28	1029088.66	856628.26	970570.97	1268901.61	1248339.08	1217265.15	1159804.27
Cytochrome P45	52172.46	34097.47	55735.14	117413.59	40499.04	66547.67	74834.02	33007.09	46672	30843	50603.92	56470	59111.26	123960	39146.04	44110.59	45724.11	93659.24	55863.26	106347.62	56727.15	36787.22	11225.04	38882.85	37620.63	87351.48	49730.59	38965.87	13203.34
Cytoskeleton protein	412054.39	428731.07	344991.37	259730.04	256499.09	216468.63	442337.65	174553.32	396066.61	194321.64	278394.19	157871.64	264385.57	228256.56	280667.17	342247.88	396127.97	331869.21	374438.65	262967.04	452261.48	337540.93	255369	253493.87	321299.77	341730.67	405676.62	324495.76	306661.03
Cytosolic DNA-sensing pathway 	165	0	36.5	0	0	0	10	0	17	0	0	0	4	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
D-Alanine metabolism 	150397.3	122004.45	119380.7	112363.59	78619.8	124998.44	102787.19	64844.88	116928.95	124169.72	88262.28	74110.83	76545.6	116547.11	75110.57	85592.52	104295.23	98868.64	124654.45	65629.23	109174.62	93525.39	75075.72	81729.81	93242.72	103269.28	114015.11	116208.75	96696.34
D-Arginine and D-ornithine metabolism 	23657.74	54045.64	39147.36	22153.45	12828.89	29381.78	27408.25	14081.98	19589.6	28324.94	15048.01	17738.83	16785.96	28682	13549.31	23222.63	34513.68	25553.57	23251.15	29178.86	31654.86	32963.87	11532.21	9758.2	23158.62	18897.33	28915.72	18205.08	17982.5
D-Glutamine and D-glutamate metabolism 	181969.43	144846	128274.98	114519.15	102398.66	96311.57	159140.91	76180.47	152598.26	84935.45	113273.42	63609.16	104015.61	103549.1	107779.45	133674.63	137074.55	127899.99	152676.04	99344.48	140906.16	99498.37	107752.03	91048.03	107999.38	152506.4	134001.05	145207.61	109290.35
DNA repair and recombination protein	3877732.7	3437405.47	2690743	2346822.86	2348295.44	1986904.63	3422300.79	1593520.39	3365737.96	1766178.55	2559781.45	1364418.97	2344551.27	2193574.7	2469063.92	2684211.61	2894769.51	2771325.67	3260509.82	2122139.48	3094044.31	2152779.91	2366278	2242935.46	2427679.48	3212299.19	3064605.29	3065460.87	2677612.22
DNA replication 	800238.82	711744.15	558140.27	498437.67	464335.95	402722.84	630748.64	308729.63	678371.41	363327.87	509245.37	271767.41	443865.43	440319.45	459875.43	521805.5	580822.06	569666.23	650208.4	422240.69	625136.99	451081.49	455540.94	479531.15	484963.4	647261.46	593854.83	640042.09	531284.71
DNA replication protein	1264508.95	1351367.61	933468.4	786367.1	788936.27	696572.61	1095728.83	544000.69	1150187.88	640787.28	844620.45	467960.5	759120.07	731154.6	812114.31	903524.99	1003939.84	931796.56	1103100.6	703257.29	1058808.12	781328.11	846239.14	796471.82	812678.62	1029973.27	1000925.26	1012864.32	876619.57
Dilated cardiomyopathy 	211.67	15	0	0	0	0	0	0	0	0	54	0	0	0	0	20.67	210.5	113	178.67	0	331.17	23	0	620	244	493.33	78.33	680	37
Dioxin degradation 	57414.48	174839.91	93102.67	69437.59	52913.43	78514.03	115591.54	42318.61	71442.21	62786.43	62950.34	67726.56	82428.95	102019.65	47895.29	154615.46	94771.47	115097.95	82863.36	82899.88	95523.93	74380.32	47049.74	60155.75	64699.28	85996.26	105955.64	44567.95	110571
Domain-containing proteins not elsewhere classifie	180	10.8	0	594	5.8	0	0	0	2306	0	0	0	0	0	108	496	55	0	8286	3442	0	116	0	21	239	0	0	13	0
Dopaminergic synapse 	50052.53	38949.53	40385.92	23703	20121.24	19890.5	22504.86	9363.86	31820.7	12675	25926.93	19256.5	38215.1	39124	17822.43	41538.94	45252.62	32383.51	32883.17	27928.63	40381.16	14713.15	13178.37	13803.74	17489.05	40422.01	29382.86	25554.44	9088.84
Dorso-ventral axis formation 	180	5	0	0	0	0	0	0	0	0	46	0	133	0	261	0	55	0	0	0	0	0	0	21	239	0	14	0	0
Drug metabolism - cytochrome P450 	316065	458172.48	336246.76	266748.49	220027.38	264890.91	407368.23	187484.81	313447.01	241988.94	230546.61	190263.15	253408.52	283300.39	265625.19	389987.63	376470.31	332418.3	335486.73	263223.06	391878.67	277798.14	224087.35	187417.85	280514.75	300572.03	362779.9	198460.29	242909.84
Drug metabolism - other enzymes 	596876.07	597024.97	519387.84	397637.54	387673.24	350347.75	598330.72	287191.58	559091.68	311801.33	398590.03	234670.66	393566.26	369964.34	430811.42	586653.54	526182.7	464747.87	583587.35	387636.27	561594.2	416321.98	401576.77	305546.41	438886.17	519356.48	542797.94	454729.94	460262.69
ECM-receptor interaction 	0	15	0	0	0	0	0	0	0	0	54	0	25	0	0	268.67	155.5	113	493.67	1746	331.17	81	0	1354.34	0	932.33	166.33	2985	37
EGFR tyrosine kinase inhibitor resistance 	165	5	36.5	0	0	0	10	0	17	0	0	0	4	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
Endocrine and other factor-regulated calcium reabsorption 	319	0	0	0	23.67	0	39.33	0	39	0	0	0	0	0	14	0	0	0	0	0	6	1.67	187.4	0	75	0	13	108	0
Endocrine resistance 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocytosis 	647.2	331.5	1802.1	594	237	45	370	85.5	2497	59	399	0	886.5	8	228	787.5	1393.33	2094.5	10616	88.5	67	859	342	974	1343	89.5	696	717	24.5
Endometrial cancer 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Energy metabolism	290938.94	567018.68	274110.89	324121.94	231928.21	252539.38	362793.17	203577.11	338819.84	205728.33	238977.26	177677.03	263281.53	293821.48	262539	250326.97	290726.82	286856	381892.14	211105.96	332129.46	286730.72	281616.96	251335.09	237566.99	336513.06	345619.88	225127.94	203138.68
Enzymes with EC numbers	3785917.89	4379918.71	3337122.39	3098766.94	2538522	2741622.11	4208239.71	1977411.91	3649693.08	2372566.35	2694255.8	1941627.76	2940077.1	3041424.21	2847554.75	3984589.99	3598167.08	3434569.44	3780941.95	3128133.22	3781155.85	2499528.46	2645178.69	2282848.49	2729409.29	3597800.33	3636770.78	2809499.28	2749752.06
Epithelial cell signaling in Helicobacter pylori infection 	55559.14	106254.24	62517.67	45135.45	36585.61	28970.1	56903.17	31273.37	65273.65	25905.22	38637.23	21233.41	43176.5	28314.94	41043.38	65820.8	70909.39	57510.1	65946.52	52656.35	70623.75	62436.64	61601.72	27898.78	33283.54	51186.16	51502.64	44526.56	45278.17
Epstein-Barr virus infection 	47906.34	77253.53	79097.08	24862.07	29602.22	20160.82	59178.32	20983.97	51664.85	21892.74	30578	15347.58	34164.19	19445.7	26341.74	89415.46	77849.18	61753.96	65272.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
ErbB signaling pathway 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estrogen signaling pathway 	19883.31	34185.9	24154.3	25285.03	20921.98	21929.48	28060.17	16317.96	27072.5	20018.99	21735.7	15284.25	19710.22	23751.12	22683.87	30380.62	24856.75	27179.77	24069.71	29175.12	25317.06	15132.79	23968.54	24372.92	17971.23	25049.12	23197.86	13973.79	19997.17
Ether lipid metabolism 	51834.91	33802.79	32330.63	58794.07	41923.03	71084.85	81247.44	39795.19	49739.35	69756.25	37318.28	44641.25	48239.32	65324.92	45547.77	59870.43	44623.09	45589.93	55580.58	38336.12	48351.51	18526.66	22298.96	22179.85	42493.5	37897.64	75992.21	39879.97	26048.17
Ethylbenzene degradation 	54557.47	61637.69	38886.99	59588.53	43103.81	67804.43	65195.41	32324.72	44204.01	54874.68	47446.66	46044.33	51032.42	83393.54	48747.11	50730.41	39408.48	50072.49	47468.15	51157.24	37865.11	43400.28	39314.25	29878.56	36208.98	40260.68	51864.47	46642.36	42806.67
Exosom	2483454.67	2296337.63	1893373.48	1735547.82	1446676.64	1482834.2	2290170.18	1009600.21	2101396.01	1322291.08	1618261.22	992964.68	1593456.17	1610079.32	1493214.76	1929897.27	2031236.05	1953391.67	2128708.49	1727038.03	2114332.64	1426571.37	1289054.18	1426263.9	1623686.9	2136307.68	2070633.32	1949197.68	1603674.19
Fanconi anemia pathway 	877	12796	146	0	48	0	40	0	68	0	0	0	16	0	0	0	0	96	265	0	0	407	0	46	0	214	0	0	0
Fat digestion and absorption 	216903.17	233415.63	171131.36	208934.44	111145.09	173819.87	216904.45	90433.18	164196.06	152310.68	141475.88	119751.73	166626.41	195207.9	121107.56	178284.19	193686.9	207233.58	173496.98	168623.43	208327.23	132797.21	76883.06	132048.13	151092.56	211010.1	189813.05	157560.6	119490.51
Fatty acid biosynthesis 	1143656.15	988317.87	868167.25	775466.45	680162.25	692688.08	1032581.4	484748.29	961642.99	633403.38	751676.98	451559.22	669534.26	739164.4	712475.18	781893.49	859108.64	860347.44	1001555.67	727633.61	941819.59	674750.9	617083.79	660168.79	753374.03	892798.77	943406.78	923212.8	770142.42
Fatty acid degradation 	1137171.17	1339992.99	925898.98	1055340.24	649433.02	868011.87	1220730.74	517185.63	916711.44	709646.3	781794.2	638090.75	917892.71	1059496.61	719441.64	933935.63	989269.28	1095457.57	1000085.16	968384.98	1080464.37	734116.43	488819.23	688584.29	832165.88	1113058.66	1086943.3	874715.33	580109.74
Fatty acid elongation 	1772.33	399.33	235	0	66	0	32	0	0	0	42.5	0	0	0	0	60	32	178	383	0	0	59	0	998	77	214.67	0	531.5	1377
Fc epsilon RI signaling pathway 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fc gamma R-mediated phagocytosis 	10.2	262.3	498.1	0	26.8	45	0	64.5	379	0	21	0	667.5	0	37	1208.5	503.33	196.5	179	3530.5	67	414	243	34	91	89.5	15	210	24.5
Ferroptosis 	182888.17	145337.21	124864.95	117480.9	80825.81	111646.47	129364	61824.81	123429.38	97783.48	100715.95	70828.75	88999.96	121297.24	82754.74	124848.7	118720.09	146272.1	145894.62	163621.9	125049.61	80769.23	61208.57	97931.4	103358.04	152257.08	126998.9	146228.44	91907.18
Flagellar assembly 	1244587.35	1814248.12	940861.22	809269.88	852534.51	893969.43	1354962.98	699847.24	1277838.1	889721.71	896960.63	577187.37	755830.15	775301.15	984457.56	1536271.87	1140555.89	897390.14	1260653.5	499062.21	1310946.96	830104.02	1069432.77	859380.82	948767.22	836742.07	1175317.95	988015.79	1089565.03
Flavone and flavonol biosynthesis 	17618	2127.2	2857.5	878.33	5105.33	254	6414	1252	8780.9	614	4204	508	6784.36	1061.67	3955.33	14601	12735	6310	9363	10140	7176	1100.5	1179	528.5	4676	5856.67	8795	8257	4230
Flavonoid biosynthesis 	3222.67	284.83	7814.25	1145.5	507	0	575.75	130	516	0	382.5	0	302	38	439	185.25	187.83	685	209.5	172	280.25	73.5	194	1683	832.5	3941	808	1123.75	1140
Fluid shear stress and atherosclerosis 	310678.85	424964.7	320153.85	236998.3	228373.23	249260.77	391634.77	193107.19	327837.94	240337.81	238635.46	165097.23	232344.38	237688.18	275672.6	363095.06	345168.77	294139.9	336293.78	231210.38	353929.62	253706.64	256129.19	200810.35	266638.58	272069.49	329683.36	218684.77	283446.85
Fluorobenzoate degradation 	84471.24	272374.93	113062.82	108816.66	91975.89	115979.1	249992.8	82614.22	120667.93	92033.56	98788.7	87404.97	140781.88	109299.57	132147.09	214274.95	163986.15	142746.35	124116.6	133374.64	180420.95	87295.17	85738.61	85030.72	122392.34	124949.9	150930.88	77817.1	115588.01
Focal adhesion 	0	5	0	0	0	0	0	0	0	0	54	0	0	0	0	20.67	155.5	113	178.67	0	331.17	23	0	599	0	493.33	78.33	680	37
Folate biosynthesis 	967534.8	1032940.78	723765.95	619635.76	623245.08	528391.24	872592.47	416566.1	893000.33	490564.6	646756.6	368231.12	589107.04	566730.21	632237.71	741704.95	756283.13	695623.6	865957.8	540706.54	793078.17	560377.29	633178.35	601118.19	634866.33	769502.34	803907.93	770398.86	725550.06
FoxO signaling pathway 	122875.88	136777.91	87107.96	111182.39	87989.73	105421.57	144008.42	70501.07	122053.61	93701.2	95751.55	73492.24	90087.52	112672.01	95745.14	108978.09	108603.81	106237.06	110379.42	81693.14	117343.55	80193.52	92619.38	67024.31	82525.54	120614.69	115658.51	87419.62	100212.17
Fructose and mannose metabolism 	805790.33	582384.17	600045.21	423642.3	526210.05	401540.83	752400.22	404343.45	690887.38	331586.95	545027.45	297946.27	525264.94	465798.13	629549.37	551315.83	705986.02	609121.55	718268.21	600875.3	687728.59	492962.12	662292.17	410204.72	466273.86	613962.09	685661.09	574918.59	475184.74
Function unknown	3060878.05	4530858.16	2924116.73	2388811.5	2070619.05	2278411.56	3142947.51	1675706	2968866.87	2075969.68	2121364.77	1599099.27	2321439.38	2413568.22	2213018.75	3216919.07	3103054.73	2816345.48	3131470.98	2568132.58	3055449.4	2493786.51	2522476.56	1749539.3	2201958.4	2839167.87	3019240.48	2342230.17	2060345.34
Furfural degradation 	3664.27	21481.94	5966.29	10404.28	14424	15140.7	120480.27	18198.53	13274.45	409.5	27177.19	13035.5	32320.25	9109.5	53973.97	19350.05	25548.9	6276.13	11093.53	5896.32	30839.74	10954.59	12686.34	5695.68	22004.08	12963.92	21777.76	1820.36	1697.17
G protein-coupled receptor	433	0	2483	0	0	40	182	0	0	0	34	0	0	0	0	68	0	0	0	12	0	0	0	55	0	0	0	0	0
GABAergic synapse 	166896.21	233621.99	154698.79	127122.13	77996.76	80382.28	134520.85	59562.3	136804.7	66485.58	97961.81	57361.23	103398.39	95843.34	88755.75	110830.78	141370.4	129408.99	147481.21	135596.09	139528.77	128800.39	100408.62	78606.64	94439.41	154857.9	132465.4	125331.59	69226.35
GTP-binding protein	457	75	1304	0	216	0	370	21	0	59	310	0	219	8	83	75	835	1898	2269	0	980	561	99	919	2993	0	681	520	0
Galactose metabolism 	713548.17	429291.02	545979.14	366971.91	418887.37	287943.89	568495.39	251046.56	648369.72	255248	418461.46	192968.92	430474.47	315158.95	395722.1	702949.66	676683.1	555475.69	652449.66	685933.77	602092.54	399505.99	378486.46	327458.36	411577.32	544695.53	588965.35	517234.06	556244.23
Gap junction 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gastric acid secretion 	319	10	0	221	113.67	0	39.33	0	39	0	37	0	0	38	196	0	58	452	0	0	6	167.67	0	0	75	3847	13	108	0
Gastric cancer 	0	5	0	237	0	276.5	0	0	0	183.5	0	105	0	0	0	0	0	930.5	0	0	0	0	0	0	0	154	0	0	0
General function prediction only	1202600.42	1662123.43	1006507.64	986594.1	881268.73	853669.94	1250596.55	701952.58	1219285.67	759874.05	907447	599715.36	926072.14	944818.1	1006391.32	1025225.52	1001016.53	994412.79	1194619.73	884910.83	1061809.01	822542.56	1148483.09	732901.04	818271.82	1161240.01	1128819.49	915398.52	921823.2
Geraniol degradation 	286791.08	420631.82	203693.07	284649.6	168018.87	242497.43	285579.86	146245.38	227473.5	204153.85	193216.84	174038.97	245587.87	291665.9	192570.96	228904.24	234950.7	263851.95	251306.32	224782.28	248471.39	188767.9	149992.82	177304.61	196051.8	258875.12	252785.79	203479.21	131416.68
Glioma 	0	15	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Global maps only	54441.68	61342.75	41572.33	48861.51	32038.11	44646.46	48946.43	26292.25	45888.3	42031.23	38471.29	32304.41	69542.24	48908.82	33760.85	39533.06	51545.63	56247.16	49872.27	56475.29	53419.3	40866.02	33726.7	25587.33	35993.28	46774.78	48680.37	37113.9	30705.5
Glucagon signaling pathway 	348090.87	225094.14	236122.68	206017.56	199627.18	149611.13	312937.29	128561.65	278456.73	117983.47	231455.48	101359.26	206038.87	182201.05	217207.58	250442.94	266809.18	270903.74	271782.42	267049.11	270638.53	161406.63	172290.88	197281.85	198725.05	315229.83	262076.32	265104.9	231262.87
Glucosinolate biosynthesis 	156264.73	89621.32	97668.79	81841.09	80037.05	75940.58	116880.68	57327.18	118716.27	72230.67	91694.71	50504.08	77701.47	81282.99	81554.81	70922.06	105066	93713.94	115627.6	73595.12	110866.77	65432.77	66938.34	77468.39	89957.52	118120.02	111426.52	121102.92	98281.68
Glutamatergic synapse 	154147.01	230982.76	151491.62	114230.82	73018.42	72742.97	120553.75	56752.7	128769.9	62522.34	91582.48	52681.4	94479.83	85565.14	78472.15	108389.42	138141.41	120813.47	135298.48	125698.09	135009.27	126097.26	98116.61	74459.14	91249.12	148575.4	125756.4	116976.42	67456.85
Glutathione metabolism 	757402.55	908172.53	746746.58	629079.69	572008.16	637742.25	903449.42	459049.05	775749.96	598078.59	584165.42	427575.95	570539.78	634523.43	649169	793227.95	767727.97	700144.06	816241.02	533265.46	809463.06	591818.47	619496.32	500352.36	635865.43	691205.71	807733.4	552966.99	615836.03
Glycan metabolism	52837.31	129529.55	83983.26	52170.58	43767.64	64601.52	45814.29	51901.21	70917.68	64818.04	44664.08	46204.17	45621.12	62787.42	49604.08	53167.03	75330.17	55682.86	62560.89	37760.63	71648.73	102996.32	105477.13	33502.92	37856.68	50414.32	79074.43	36418.97	30809.67
Glycerolipid metabolism 	556796.93	490929.81	428444.46	409038.49	344803.9	349941.34	577018.58	265427.98	470129.47	289915.22	375142.19	253257.4	408863.56	407195.06	385887.36	420545.28	494159.6	446372.03	469973	457151.59	477835.21	381999.82	342142.36	278515.67	354872.84	500281.3	491639.45	407063.16	335709.88
Glycerophospholipid metabolism 	760059.74	789972.34	618006.95	542012.17	520566.21	498502.57	770726.18	384969.8	730002.27	452738.49	545376.26	340402.15	520640.94	528631.83	544504.03	639530.3	662371.61	616946.32	741840.19	570176.53	678377.67	511416.09	541568.77	472785.17	540552.8	678781.62	691774.09	594689.64	538623.71
Glycine	1736228.33	1675176.24	1456994	1239013.91	1059135.71	1107910.02	1787497.19	790044.67	1533118.72	979837.95	1187992.68	754570.67	1098477.35	1172450.69	1182771.79	1297205.83	1500730.03	1342068.64	1545764.39	1299077.35	1545407.7	1153217.83	1066409.7	930624.28	1150257.29	1505082.9	1527544.03	1421111.63	1085441.44
Glycolysis / Gluconeogenesis 	1884161.8	1521507.84	1322752.14	1248630.44	1110285.86	1050554.61	1702143.55	793373.26	1542680.37	876743.14	1244411.15	727004.66	1175765.65	1225333.85	1218183.13	1333863.47	1442987.41	1451719.08	1558925.26	1410318.85	1498142.18	1006936.29	1075605.74	1019008.67	1129406.25	1594712.74	1513531.94	1473259.82	1202186.66
Glycosaminoglycan binding protein	4621.2	45017.39	3703.72	44465.48	19326.94	76647.08	34899.66	30168.99	32783.55	70421.85	18107.81	38416.25	18946.6	62880.85	23636.21	7014.38	6741.97	11246.17	33334.38	6447.77	7326.81	15833.15	31766.29	7008.79	7465.76	15587.28	20985.29	5777.09	18699
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0
Glycosaminoglycan degradation 	97690.41	56728.68	67267.72	38839.83	52318.75	27220.98	67122.4	29865.71	78172.21	23845.74	48430	19847.5	55188.75	30998.21	46633	76916.7	95005.84	88329.64	87410.67	86833.99	78283.06	50941.54	42756.44	51726.66	54731.39	69047.82	73619.95	60311.69	60210.35
Glycosphingolipid biosynthesis - ganglio series 	15113.77	13435.87	15107.42	4370.97	16816.69	3177	14486.28	9491.25	20266.93	1560.75	10160.92	1624.5	15216.11	2643.42	10435.43	13797.51	30114.21	24050.31	22086.8	32950.03	21185.75	15666.4	14928.7	10441.65	12730.13	13964.53	16068.25	9001.08	18881.17
Glycosphingolipid biosynthesis - globo and isoglobo series 	42525.88	29820.04	45631.42	13495.8	38821.27	8777.2	34932.31	15445.95	52328.66	6341.55	25684.76	4509.5	37400.09	8385.29	20211.02	38598.29	73266.13	49929.33	44888.84	99377.21	50538.25	39399.35	23394.31	17920.89	32356.01	41788.9	45834.68	22751.66	56627.84
Glycosphingolipid biosynthesis - lacto and neolacto series 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	19
